material,bandgap
LiBeH3,4.8256
Li(BH)5,4.9946
LiBH4,6.8115000000000006
LiH2N,3.1357999999999997
Li4HN,1.9937
Li2HN,2.6355
LiH3O2,4.741
LiHO,4.0057
LiHF2,8.0448
Li3AlH6,3.5929
LiHS,3.5474
Li4H6Ru,2.388
Li3H4Rh,0.3917999999999999
Li3H6Rh,2.4252
Li4H4Rh,0.0
Li2H2Pd,0.0
LiHPd,0.0
BaLiH3,2.213
EuLiH3,0.0
Li4H6Os,2.691
Li3H6Ir,3.0495
Li5H9Pt2,0.0
Li2H2Pt,0
Be(BH4)2,6.1859
Be(H2N)2,3.3225
Na2BeH4,4.5899
CsBeH3,3.2171000000000003
B6H10N,5.657500000000001
BH6N,6.106400000000001
B(HO)3,6.0656
BHO2,6.0887
Na(BH)6,5.6439
NaBH4,6.3248999999999995
Mg(BH4)2,6.0799
Al(BH4)3,6.2431
K(BH)6,5.5295000000000005
KBH4,6.0978
Ca(BH4)2,5.4940999999999995
Zn(BH4)2,4.2519
GaBH6,4.8941
B5H6Br,3.0316
Rb(BH)6,5.5329999999999995
Y(BH4)3,4.5766
B10H13I,2.3907
CsB3H8,5.9585
Cs(BH)6,5.3849
Hf(BH4)4,5.7222
Tl(BH)6,4.5268999999999995
U(BH4)4,0.0
Np(BH4)4,0.0
H3NO4,3.7464
H7NF4,7.2568
H11NF8,7.2099
H4NF,5.9622
H5NF2,6.8966
H8NF5,7.3713
NaH2N,1.9459
Mg(H2N)2,3.0137
PH4N3,4.6014
PHN2,4.732799999999999
HS7N,2.8747
HS9N,2.3535
H8S5N2,2.1413
H4NCl,4.9341
KH8N3,2.5334
KH2N,2.0569
Ca(H2N)2,2.6985
Ca2HN,1.6789
CaHN,2.1864000000000003
Ti20H2N17,0.0
Zn(H2N)2,2.3711
H4BrN,4.3113
RbH2N,1.8985
Sr2HN,1.8070000000000002
Sr(H2N)2,2.342
Zr10HN8,0.0
H4I3N,1.811
H4IN,3.7607
H7IN2,3.6926
H4OF2,7.0619
H6OF4,7.3988000000000005
H3OF,6.7352
NaH9O5,4.6858
NaH3O2,4.3479
NaHO,2.9879000000000002
NaH8O5,3.5072
Mg(HO)2,4.1796999999999995
AlHO2,5.1403
PH3O4,5.9151
H10SO8,5.508
H4SO5,5.647600000000001
H2SO4,6.0968
H18SO12,5.218999999999999
H3ClO5,5.4698
H3ClO,5.3864
H7ClO7,5.2091
H7ClO3,5.2273
KH3O2,4.3804
KHO,3.678
Ca(HO)2,4.1119
ScHO2,4.412
VHO2,1.5267999999999997
CrHO2,2.9692
Fe(HO)2,2.3366
CoHO2,0.0
Zn(HO)2,2.9697
GaHO2,3.2584
As3(HO2)5,3.0438
As3HO6,3.5542
H2SeO4,3.3830999999999998
H4SeO5,3.5177
H10SeO8,3.9706
H3BrO,4.4259
H9BrO4,4.3502
RbH3O2,4.2519
RbHO,3.3341000000000003
Sr(HO)2,4.0304
Sr(H8O5)2,3.8434
Sr(H2O3)2,2.7961
YHO2,4.0468
AgHO2,0.0
Cd(HO)2,1.7006000000000001
In(HO)3,2.7771999999999997
Te(HO)6,3.0698
CsH7O4,4.5889999999999995
CsH5O3,4.5517
CsHO,3.4329
CsH3O2,4.0949
BaH4O3,4.2591
BaH8O5,4.8099
Ba(H2O3)2,0.0027000000000000357
Ba(HO2)2,2.9433000000000002
Ba(H8O5)2,3.8353
Ba(HO)2,4.5412
La(HO)3,3.7163999999999997
LaHO2,3.8390000000000004
LaHO,2.4324000000000003
Pr(HO)3,3.7452999999999994
NdHO2,4.1593
Nd(HO)3,3.5877
Sm(HO)3,3.7105
GdHO2,3.0714000000000006
HoHO2,3.9497999999999998
ErHO2,3.9820999999999995
Lu(HO)3,5.024900000000001
ReH3O5,3.886
NaHF2,6.8137
Na2HF4,1.2904
PHF4,7.5482000000000005
PH2F3,6.4376
KH3F4,7.363700000000001
K2H5F7,7.1692
KHF2,6.9611
RbHF2,6.6658
CsHF2,6.5186
BaH6F8,7.5667
NaMgH3,3.103
NaAlH4,4.6648
Na3AlH6,2.8136
Na5Al3H14,2.5843000000000003
NaHS,3.1576999999999997
NaGaH4,4.7345
Na3H7Ru,2.5195
Na4H6Ru,2.0361
Na3H6Rh,3.1017
NaH2Pd3,0
Na2H2Pd,0.0
Na2H4Pd,2.2472000000000003
Na3H7Os,2.6299
Na3H6Ir,3.3028000000000004
Na2H4Pt,2.1056
Na2H6Pt,3.6147
KMgH3,2.458
K2MgH4,3.4385
Ca19(Mg4H27)2,2.7886
Mg3MnH7,1.6630999999999996
Mg2FeH6,1.9139999999999997
Mg2CoH5,0.19469999999999965
Mg2NiH4,1.5718999999999999
RbMgH3,2.5404999999999998
Rb4Mg3H10,3.4271
SrMgH4,2.7087
Mg3TcH7,2.6374999999999997
Mg2H6Ru,3.0681000000000003
Mg2H4Ru,0.8613
CsMgH3,2.9046999999999996
Cs3MgH5,2.5844
Cs4Mg3H10,3.2824
Ba2Mg3H10,3.0265000000000004
Ba6Mg7H26,2.9720000000000004
Ba2MgH6,2.8864
LaMg2H7,2.6058999999999997
Eu(MgH3)2,0.0004999999999997229
Eu2MgH6,0.34040000000000026
EuMgH4,0.2601
Yb19(Mg4H27)2,2.7756000000000003
Mg3ReH7,2.6637
Mg2H6Os,3.3481
K3AlH6,2.8773
KAlH4,5.0677
CaAlH5,2.8366000000000002
SrAlH5,3.5012999999999996
Sr2AlH7,3.1294000000000004
BaAlH5,2.7537
Ba2AlH7,2.96
Si3PH9,4.2301
Si(PH2)4,3.9290000000000003
Si2H6S,4.4871
Si2H2S3,3.3542
KSiH3,2.5736
Si2H6Se,3.7464000000000004
SiH3I,4.2153
PH4Br,3.9898000000000002
PH4I,3.6789
KHS,3.2295
RbHS,3.0784000000000002
CaHCl,3.8367999999999993
Ca7(H6Cl)2,3.7127
ScHCl,0.0
GeH3Cl,4.7492
Sr7(H6Cl)2,3.8615000000000004
SrHCl,4.044700000000001
BaHCl,3.4827000000000004
Eu2H3Cl,0.07889999999999997
ErHCl,0.0
LuHCl,0.0
K2ZnH4,4.118
KGaH4,4.9361999999999995
K2H4Pd,2.6477
K3H3Pd,1.7674
K2ReH9,5.2166999999999994
K2H4Pt,3.2469
K2H6Pt,3.9984
Ca5Ge3H,0.0
CaHBr,4.1139
Ca4(H4Rh)3,0.0
Ca3SnH2,0.5185
CaHI,3.5269
Cs2CaH4,3.01
Zr(TiH2)2,0.0
Ti3SnH,0.0
Rb3MnH5,1.6939000000000002
Cs3MnH5,1.6533
Zr2CoH5,0.014000000000000234
ZrNiH3,0.0
LaNi5H7,0.0
YbNiH3,0.0
Ba7Cu3H17,1.4593999999999998
Rb2ZnH4,4.0139
Cs3ZnH5,2.7476
RbGaH2,1.3521
Sr(GaH)2,0.0
CsGaH4,4.7997
Ba5(Ga3H)2,0.3609
Sr5As3H,0.6763999999999997
YHSe,1.5080999999999998
CeHSe,0.0
PrHSe,1.9171
HoHSe,1.4980999999999995
Sr7(H6Br)2,3.7046
SrHBr,3.8289
BaHBr,3.2114
LaHBr2,3.5973999999999995
Eu2H3Br,0.0248999999999997
TbH2Br,1.6981999999999995
Rb2H4Pd,3.0255
Rb2H6Pt,4.0644
Rb2H4Pt,3.2877
Sr2H6Ru,2.2349000000000006
